MAL_ID,MAL_SCORE,MAL_TITLE,GENRES,STUDIOS,DIRECTORS,OG_CREATOR,SOURCE,ANIM_DIRECTOR,COMPOSER,AGE_RATING
5114,9.16,b'Fullmetal Alchemist: Brotherhood',"[b'Action', b'Adventure', b'Comedy', b'Drama', b'Fantasy']",[b'Bones'],"b'Irie, Yasuhiro'","b'Arakawa, Hiromu'",b'Manga',"b'Fukuoka, Hidenori'","b'Senju, Akira'",b'R - 17+ (violence & profanity)'
38524,9.1,b'Shingeki no Kyojin Season 3 Part 2',"[b'Action', b'Drama', b'Fantasy', b'Mystery']",[b'Wit Studio'],"b'Araki, Tetsurou'","b'Isayama, Hajime'",b'Manga',"b'Kameda, Yoshimichi'","b'Sawano, Hiroyuki'",b'R - 17+ (violence & profanity)'
9253,9.1,b'Steins;Gate',"[b'Drama', b'Sci-Fi', b'Suspense']",[b'White Fox'],"b'Koizuka, Masashi'","b'Shikura, Chiyomaru'",b'Visual novel',"b'Kaneda, Naomi'","b'Abo, Takeshi'",b'PG-13 - Teens 13 or older'
28977,9.09,b'Gintama\xc2\xb0',"[b'Action', b'Comedy', b'Sci-Fi']",[b'Bandai Namco Pictures'],"b'Hamasaki, Hiroshi'",b'5pb.',b'Manga',"b'Asano, Kyouji'",b'Audio Highs',b'PG-13 - Teens 13 or older'
42938,9.08,b'Fruits Basket: The Final',"[b'Comedy', b'Drama', b'Romance', b'Slice of Life', b'Supernatural']",[b'TMS Entertainment'],"b'Satou, Takuya'",b'Nitroplus',b'Manga',"b'Kadowaki, Satoshi'","b'Yokoyama, Masaru'",b'PG-13 - Teens 13 or older'
9969,9.06,"b""Gintama'""","[b'Action', b'Comedy', b'Sci-Fi']",[b'Sunrise'],"b'Fujita, Youichi'","b'Sorachi, Hideaki'",b'Manga',"b'Sakai, Kyuuta'",b'Audio Highs',b'PG-13 - Teens 13 or older'
11061,9.06,b'Hunter x Hunter (2011)',"[b'Action', b'Adventure', b'Fantasy']",[b'Madhouse'],"b'Miyawaki, Chizuru'","b'Takaya, Natsuki'",b'Manga',None,"b'Hirano, Yoshihisa'",b'PG-13 - Teens 13 or older'
15417,9.04,"b""Gintama': Enchousen""","[b'Action', b'Comedy', b'Sci-Fi']",[b'Sunrise'],"b'Ibata, Yoshihide'","b'Sorachi, Hideaki'",b'Manga',None,"b'Mozart, Wolfgang Amadeus'",b'PG-13 - Teens 13 or older'
34096,8.99,b'Gintama.',"[b'Action', b'Comedy', b'Sci-Fi']",[b'Bandai Namco Pictures'],"b'Fujita, Youichi'","b'Togashi, Yoshihiro'",b'Manga',None,b'Audio Highs',b'PG-13 - Teens 13 or older'
35180,8.98,b'3-gatsu no Lion 2nd Season',"[b'Drama', b'Slice of Life']",[b'Shaft'],"b'Koujina, Hiroshi'","b'Sorachi, Hideaki'",b'Manga',"b'Yoshida, Daisuke'",b'Audio Highs',b'PG-13 - Teens 13 or older'
4181,8.95,b'Clannad: After Story',"[b'Comedy', b'Drama', b'Romance', b'Slice of Life', b'Supernatural']",[b'Kyoto Animation'],"b'Fujita, Youichi'","b'Sorachi, Hideaki'",b'Visual novel',"b'Yoshimatsu, Takahiro'","b'Hashimoto, Yukari'",b'PG-13 - Teens 13 or older'
918,8.95,b'Gintama',"[b'Action', b'Comedy', b'Sci-Fi']",[b'Sunrise'],"b'Fujita, Youichi'","b'Umino, Chika'",b'Manga',None,"b'Orito, Shinji'",b'PG-13 - Teens 13 or older'
40028,8.92,b'Shingeki no Kyojin: The Final Season',"[b'Action', b'Drama', b'Fantasy', b'Mystery']",[b'MAPPA'],"b'Miyawaki, Chizuru'","b'Maeda, Jun'",b'Manga',"b'Takeuchi, Shinji'","b'Togoshi, Magome'",b'R - 17+ (violence & profanity)'
35247,8.91,b'Owarimonogatari 2nd Season',"[b'Comedy', b'Mystery', b'Supernatural']",[b'Shaft'],"b'Okada, Kenjirou'",b'Key',b'Light novel',None,b'Audio Highs',b'R - 17+ (violence & profanity)'
2904,8.91,b'Code Geass: Hangyaku no Lelouch R2',"[b'Action', b'Drama', b'Sci-Fi']",[b'Sunrise'],"b'Shinbou, Akiyuki'","b'Sorachi, Hideaki'",b'Original',"b'Ikeda, Kazumi'","b'Sawano, Hiroyuki'",b'R - 17+ (violence & profanity)'
37491,8.88,b'Gintama.: Shirogane no Tamashii-hen - Kouhan-sen',"[b'Action', b'Comedy', b'Sci-Fi']",[b'Bandai Namco Pictures'],"b'Ishihara, Tatsuya'","b'Isayama, Hajime'",b'Manga',None,"b'Yamamoto, Kohta'",b'PG-13 - Teens 13 or older'
36838,8.82,b'Gintama.: Shirogane no Tamashii-hen',"[b'Action', b'Comedy', b'Sci-Fi']",[b'Bandai Namco Pictures'],"b'Takamatsu, Shinji'","b'NISIO, ISIN'",b'Manga',"b'Niinuma, Daisuke'","b'Haneoka, Kei'",b'PG-13 - Teens 13 or older'
37510,8.82,b'Mob Psycho 100 II',"[b'Action', b'Comedy', b'Slice of Life', b'Supernatural']",[b'Bones'],"b'Fujita, Youichi'","b'Ookouchi, Ichirou'",b'Web manga',"b'Yamaguchi, Jinshichi'","b'Kuroishi, Hitomi'",b'PG-13 - Teens 13 or older'
32935,8.81,b'Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou',"[b'Comedy', b'Drama', b'Sports']",[b'Production I.G'],"b'Hayashi, Yuuichirou'","b'Sorachi, Hideaki'",b'Manga',"b'Iwasaki, Taisuke'","b'Nakagawa, Koutarou'",b'PG-13 - Teens 13 or older'
